id;alive;dead;total;prop_alive;rep;worm;bac;infection;conc;bt_conc_ordered;exp;bac2
28;27;0;27;1;1;my316;MT12;BT247;100;2_247_100;exp10;MT12 (wrinkly)
28;29;0;29;1;2;my316;MT12;BT247;100;2_247_100;exp10;MT12 (wrinkly)
32;9;15;24;0.375;3;my316;MT13;BT247;25;4_247_25;exp10;MT13 (ancestral-like, colony size variation)
32;19;10;29;0.655172414;1;my316;MT13;BT247;25;4_247_25;exp10;MT13 (ancestral-like, colony size variation)
32;24;5;29;0.827586207;3;my316;MT13;BT247;25;4_247_25;exp10;MT13 (ancestral-like, colony size variation)
34;32;0;32;1;1;my316;OP50;BT407;25;1_407_25;exp10;OP50
34;30;0;30;1;2;my316;OP50;BT407;25;1_407_25;exp10;OP50
34;30;0;30;1;3;my316;OP50;BT407;25;1_407_25;exp10;OP50
39;9;22;31;0.290322581;3;my316;MT11;BT247;25;4_247_25;exp10;MT11 (ancestral-like, slightly fuzzy)
39;14;12;26;0.538461538;1;my316;MT11;BT247;25;4_247_25;exp10;MT11 (ancestral-like, slightly fuzzy)
39;13;13;26;0.5;2;my316;MT11;BT247;25;4_247_25;exp10;MT11 (ancestral-like, slightly fuzzy)
44;26;0;26;1;3;my316;MT13;BT247;100;2_247_100;exp10;MT13 (ancestral-like, colony size variation)
44;23;0;23;1;2;my316;MT13;BT247;100;2_247_100;exp10;MT13 (ancestral-like, colony size variation)
44;30;0;30;1;1;my316;MT13;BT247;100;2_247_100;exp10;MT13 (ancestral-like, colony size variation)
46;31;0;31;1;3;my316;MT14;BT247;100;2_247_100;exp10;MT14 (wrinkly)
46;25;0;25;1;2;my316;MT14;BT247;100;2_247_100;exp10;MT14 (wrinkly)
46;27;0;27;1;1;my316;MT14;BT247;100;2_247_100;exp10;MT14 (wrinkly)
48;26;5;31;0.838709677;3;my316;OP50;BT247;50;3_247_50;exp10;OP50
48;29;6;35;0.828571429;2;my316;OP50;BT247;50;3_247_50;exp10;OP50
48;22;7;29;0.75862069;1;my316;OP50;BT247;50;3_247_50;exp10;OP50
